14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
16-12-416-038-0000,2536,W,MAYPOLE,AVE,2485,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2536 W MAYPOLE AVE
CHICAGO, IL
(41.88376803800048, -87.68996107399965)"
16-12-109-028-0000,407,N,KEDZIE,AVE,20135,27,HUMBOLDT PARK,C1-2,Kinzie Industrial Corridor,"407 N KEDZIE AVE
CHICAGO, IL
(41.8885315710005, -87.70631425799968)"
16-12-323-029-0000,128,N,CALIFORNIA,AVE,2346,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"128 N CALIFORNIA AVE
CHICAGO, IL
(41.88386943900048, -87.69639772099964)"
16-12-313-017-0000,3023,W,WALNUT,ST,3749,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"3023 W WALNUT ST
CHICAGO, IL
(41.885413505000486, -87.70221493799966)"
16-12-103-004-0000,3119,W,HURON,ST,1896,27,HUMBOLDT PARK,PD 855,Kinzie Industrial Corridor,"3119 W HURON ST
CHICAGO, IL
(41.89371338300049, -87.70484970699965)"
16-12-310-007-0000,2945,W,FULTON,ST,3739,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2945 W FULTON ST
CHICAGO, IL
(41.8864632260005, -87.70063005199967)"
16-12-323-001-0000,139,N,MOZART,ST,1663,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"139 N MOZART ST
CHICAGO, IL
(41.884061870000494, -87.69756382899965)"
16-12-416-023-0000,2507,W,LAKE,,2499,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2507 W LAKE
CHICAGO, IL
(41.88457348300045, -87.68889982299964)"
16-12-416-014-0000,2529,W,LAKE,ST,7501,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2529 W LAKE ST
CHICAGO, IL
(41.884554643000456, -87.68966455499964)"
16-12-416-039-0000,2532,W,MAYPOLE,,2488,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2532 W MAYPOLE
CHICAGO, IL
(41.88376803800048, -87.68987119699966)"
16-12-317-014-0000,3121,W,LAKE,ST,6775,27,EAST GARFIELD PARK,M1-3,Kinzie Industrial Corridor,"3121 W LAKE ST
CHICAGO, IL
(41.884296091000465, -87.70431248999967)"
17-07-315-026-0000,2046,W,LAKE,,3617,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2046 W LAKE
CHICAGO, IL
(41.8850400820005, -87.67789794099969)"
16-12-106-033-0000,3138,W,FRANKLIN,ST,3989,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"3138 W FRANKLIN ST
CHICAGO, IL
(41.8903383490005, -87.70553070599965)"
16-12-306-028-0000,2946,W,FULTON,ST,3776,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2946 W FULTON ST
CHICAGO, IL
(41.88651853500045, -87.70074067099966)"
16-12-308-048-0000,3106,W,WALNUT,ST,2717,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"3106 W WALNUT ST
CHICAGO, IL
(41.88545843600048, -87.70411109499969)"
16-12-306-023-0000,318,N,FRANCISCO,AVE,1998,27,EAST GARFIELD PARK,PMD 4,Kinzie Industrial Corridor,"318 N FRANCISCO AVE
CHICAGO, IL
(41.887130397000476, -87.69894771999964)"
16-12-109-014-0000,413,N,KEDZIE,AVE,2554,27,HUMBOLDT PARK,C1-2,Kinzie Industrial Corridor,"413 N KEDZIE AVE
CHICAGO, IL
(41.888721698000495, -87.70632347599968)"
16-12-416-042-0000,2526,W,MAYPOLE,,2492,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2526 W MAYPOLE
CHICAGO, IL
(41.88377840800047, -87.68960156199967)"
17-07-314-028-0000,2124,W,LAKE,ST,3317,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2124 W LAKE ST
CHICAGO, IL
(41.88495221000045, -87.68013943199969)"
16-12-416-033-0000,2544,W,MAYPOLE,AVE,3988,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2544 W MAYPOLE AVE
CHICAGO, IL
(41.88375766700045, -87.69027103799965)"
16-12-111-012-0000,426,N,WHIPPLE,ST,3250,27,HUMBOLDT PARK,C1-2,Kinzie Industrial Corridor,"426 N WHIPPLE ST
CHICAGO, IL
(41.8891998950005, -87.70274794499966)"
16-12-319-016-0000,3100,W,WASHINGTON,BLVD,15201,27,EAST GARFIELD PARK,PD 25,Kinzie Industrial Corridor,"3100 W WASHINGTON BLVD
CHICAGO, IL
(41.88285773600046, -87.70407076499964)"
16-12-103-019-0000,619,N,TROY,ST,3163,27,HUMBOLDT PARK,RS-3,Kinzie Industrial Corridor,"619 N TROY ST
CHICAGO, IL
(41.892511553000475, -87.70518386899965)"
16-12-300-014-0000,355,N,KEDZIE,AVE,7410,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"355 N KEDZIE AVE
CHICAGO, IL
(41.88777496600045, -87.70628993699967)"
16-12-107-031-0000,3110,W,FRANKLIN,ST,3897,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"3110 W FRANKLIN ST
CHICAGO, IL
(41.89035793800048, -87.70442105899969)"
16-12-320-023-0000,3054,W,WASHINGTON,BLVD,22538,27,EAST GARFIELD PARK,PD 25,Kinzie Industrial Corridor,"3054 W WASHINGTON BLVD
CHICAGO, IL
(41.933908430000486, -87.70476098199964)"
16-12-314-026-0000,217,N,SACRAMENTO,,2462,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"217 N SACRAMENTO
CHICAGO, IL
(41.8846506860005, -87.70126380599964)"
17-07-409-031-0000,1836,W,WALNUT,ST,2568,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"1836 W WALNUT ST
CHICAGO, IL
(41.88603803300049, -87.67330138399967)"
16-12-320-004-0000,3045,W,LAKE,ST,4235,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"3045 W LAKE ST
CHICAGO, IL
(41.884233560000496, -87.70298185899969)"
16-12-320-010-0000,3007,W,LAKE,ST,7217,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"3007 W LAKE ST
CHICAGO, IL
(41.88416327100049, -87.70160142499964)"
17-07-309-014-0000,2227,W,FULTON,ST,4008,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2227 W FULTON ST
CHICAGO, IL
(41.88665711600049, -87.68273484099967)"
16-12-101-018-0000,3126,W,HURON,ST,1570,27,HUMBOLDT PARK,PD 855,Kinzie Industrial Corridor,"3126 W HURON ST
CHICAGO, IL
(41.89375832200045, -87.70509168599966)"
16-12-317-003-0000,131,N,KEDZIE,AVE,4618,27,EAST GARFIELD PARK,C1-3,Kinzie Industrial Corridor,"131 N KEDZIE AVE
CHICAGO, IL
(41.88379915000047, -87.70617367899968)"
17-07-309-029-0000,2228,W,WALNUT,ST,3194,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2228 W WALNUT ST
CHICAGO, IL
(41.88578798900045, -87.68287108399966)"
16-12-306-024-0000,311,N,SACRAMENTO,AVE,6011,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"311 N SACRAMENTO AVE
CHICAGO, IL
(41.8868691990005, -87.70132869099967)"
16-12-103-002-0000,3123,W,HURON,ST,1896,27,HUMBOLDT PARK,PD 855,Kinzie Industrial Corridor,"3123 W HURON ST
CHICAGO, IL
(41.89371338300049, -87.70499950399966)"
16-12-320-009-0000,3011,W,LAKE,ST,3694,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"3011 W LAKE ST
CHICAGO, IL
(41.88417364200046, -87.70174200299965)"
16-12-114-010-0000,445,N,SACRAMENTO,BLVD,17811,27,HUMBOLDT PARK,PMD 4,Kinzie Industrial Corridor,"445 N SACRAMENTO BLVD
CHICAGO, IL
(41.8892828590005, -87.70144356199967)"
16-12-416-030-0000,2558,W,MAYPOLE,AVE,2230,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2558 W MAYPOLE AVE
CHICAGO, IL
(41.883759160000466, -87.69039750999968)"
16-12-416-018-0000,2515,W,LAKE,ST,2499,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2515 W LAKE ST
CHICAGO, IL
(41.88456311300047, -87.68916945699965)"
16-12-109-013-0000,415,N,KEDZIE,AVE,2554,27,HUMBOLDT PARK,C1-2,Kinzie Industrial Corridor,"415 N KEDZIE AVE
CHICAGO, IL
(41.88878161700046, -87.70632347599968)"
16-12-317-012-0000,3127,W,LAKE,ST,3521,27,EAST GARFIELD PARK,M1-3,Kinzie Industrial Corridor,"3127 W LAKE ST
CHICAGO, IL
(41.884313068000495, -87.70479209299964)"
16-12-310-018-0000,2917,W,FULTON,ST,7174,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2917 W FULTON ST
CHICAGO, IL
(41.886473596000485, -87.69959991099967)"
16-12-102-039-0000,604,N,TROY,ST,3171,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"604 N TROY ST
CHICAGO, IL
(41.89216932500045, -87.70524724499967)"
17-07-315-021-0000,216,N,DAMEN,AVE,1021,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"216 N DAMEN AVE
CHICAGO, IL
(41.88558864400045, -87.67679740699964)"
16-12-308-037-0000,3128,W,WALNUT,ST,2710,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"3128 W WALNUT ST
CHICAGO, IL
(41.88544909800049, -87.70452450599964)"
16-12-317-004-0000,127,N,KEDZIE,AVE,4650,27,EAST GARFIELD PARK,C1-3,Kinzie Industrial Corridor,"127 N KEDZIE AVE
CHICAGO, IL
(41.883689683000455, -87.70617367899968)"
17-07-314-048-0000,2140,W,LAKE,ST,1423,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2140 W LAKE ST
CHICAGO, IL
(41.884937538000486, -87.68043775299964)"
16-12-102-040-0000,3134,W,OHIO,ST,5451,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"3134 W OHIO ST
CHICAGO, IL
(41.89193500500045, -87.70536692599967)"
16-12-308-047-0000,3108,W,WALNUT,ST,2716,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"3108 W WALNUT ST
CHICAGO, IL
(41.885454806000496, -87.70406950799969)"
16-12-416-004-0000,2563,W,LAKE,ST,1121,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2563 W LAKE ST
CHICAGO, IL
(41.88451411900047, -87.69078250099966)"
16-12-106-002-0000,543,N,KEDZIE,AVE,3178,27,HUMBOLDT PARK,B3-2,Kinzie Industrial Corridor,"543 N KEDZIE AVE
CHICAGO, IL
(41.89161162000045, -87.70640413499967)"
16-12-310-042-0000,2912,W,WALNUT,ST,2997,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2912 W WALNUT ST
CHICAGO, IL
(41.88550798400047, -87.69946163799966)"
16-12-111-008-0000,405,N,ALBANY,AVE,58804,27,HUMBOLDT PARK,C1-2,Kinzie Industrial Corridor,"405 N ALBANY AVE
CHICAGO, IL
(41.88890145400046, -87.70384376499965)"
16-12-106-005-0000,535,N,KEDZIE,AVE,3175,27,HUMBOLDT PARK,B3-2,Kinzie Industrial Corridor,"535 N KEDZIE AVE
CHICAGO, IL
(41.89118952400048, -87.70638997399965)"
16-12-415-076-0000,2666,W,MAYPOLE,AVE,1979,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2666 W MAYPOLE AVE
CHICAGO, IL
(41.88368853100047, -87.69362072099966)"
17-07-315-034-0000,2012,W,LAKE,ST,3360,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2012 W LAKE ST
CHICAGO, IL
(41.88505744100047, -87.67734128299969)"
16-12-416-051-0000,2567,W,LAKE,ST,12989,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2567 W LAKE ST
CHICAGO, IL
(41.88451014500049, -87.69088416099964)"
16-12-103-032-0000,636,N,ALBANY,AVE,6338,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"636 N ALBANY AVE
CHICAGO, IL
(41.89262207100046, -87.70401298499968)"
16-12-322-006-0000,2841,W,LAKE,ST,3123,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"2841 W LAKE ST
CHICAGO, IL
(41.884233560000496, -87.69791988399965)"
16-12-111-020-0000,0,,,,35935,27,HUMBOLDT PARK,RM-5,Kinzie Industrial Corridor,
16-12-109-018-0000,428,N,TROY,ST,3162,27,HUMBOLDT PARK,RS-3,Kinzie Industrial Corridor,"428 N TROY ST
CHICAGO, IL
(41.88917108800047, -87.70516773699967)"
16-12-114-015-0000,425,N,SACRAMENTO,,3995,27,HUMBOLDT PARK,PMD 4,Kinzie Industrial Corridor,"425 N SACRAMENTO
CHICAGO, IL
(41.88913611100048, -87.70143340399966)"
16-12-416-017-0000,2515,W,LAKE,ST,2501,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2515 W LAKE ST
CHICAGO, IL
(41.88456311300047, -87.68916945699965)"
16-12-416-037-0000,2538,W,MAYPOLE,AVE,2486,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2538 W MAYPOLE AVE
CHICAGO, IL
(41.88376803800048, -87.69006132199968)"
16-12-322-003-0000,2841,W,LAKE,ST,3014,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"2841 W LAKE ST
CHICAGO, IL
(41.884233560000496, -87.69791988399965)"
16-12-308-025-0000,3152,W,WALNUT,ST,3383,27,EAST GARFIELD PARK,B3-2,Kinzie Industrial Corridor,"3152 W WALNUT ST
CHICAGO, IL
(41.88544224900045, -87.70507050499964)"
16-01-318-009-0000,892,N,SACRAMENTO,AVE,3796,26,HUMBOLDT PARK,,Kinzie Industrial Corridor,"892 N SACRAMENTO AVE
CHICAGO, IL
(41.89821995700049, -87.70300720899968)"
16-12-107-032-0000,3106,W,FRANKLIN,ST,3894,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"3106 W FRANKLIN ST
CHICAGO, IL
(41.89035793800048, -87.70433118099965)"
16-12-307-005-0000,2848,W,FULTON,ST,2889,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2848 W FULTON ST
CHICAGO, IL
(41.88652775300045, -87.69834046799969)"
16-12-313-014-0000,3031,W,WALNUT,ST,3751,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"3031 W WALNUT ST
CHICAGO, IL
(41.88541349600047, -87.70252094599965)"
16-12-416-009-0000,2551,W,LAKE,ST,2694,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2551 W LAKE ST
CHICAGO, IL
(41.88452278300048, -87.69052914899964)"
16-12-306-020-0000,324,N,FRANCISCO,AVE,1636,27,EAST GARFIELD PARK,PMD 4,Kinzie Industrial Corridor,"324 N FRANCISCO AVE
CHICAGO, IL
(41.887289411000495, -87.69894771999964)"
17-07-315-032-0000,2022,W,LAKE,ST,6881,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2022 W LAKE ST
CHICAGO, IL
(41.88504822300047, -87.67773190799966)"
16-12-322-002-0000,2841,W,LAKE,ST,3012,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"2841 W LAKE ST
CHICAGO, IL
(41.884233560000496, -87.69791988399965)"
16-12-310-037-0000,2924,W,WALNUT,ST,2996,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2924 W WALNUT ST
CHICAGO, IL
(41.8855062450005, -87.69950962199965)"
16-12-416-035-0000,2544,W,MAYPOLE,AVE,3102,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2544 W MAYPOLE AVE
CHICAGO, IL
(41.88375766700045, -87.69027103799965)"
16-12-416-013-0000,2545,W,LAKE,ST,5001,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2545 W LAKE ST
CHICAGO, IL
(41.88453315400045, -87.69025951499964)"
16-12-107-026-0000,3124,W,FRANKLIN,BLVD,7796,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"3124 W FRANKLIN BLVD
CHICAGO, IL
(41.89034756700045, -87.70492114899969)"
16-12-415-073-0000,2674,W,MAYPOLE,AVE,1937,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2674 W MAYPOLE AVE
CHICAGO, IL
(41.88368853100047, -87.69389035499967)"
17-07-409-041-0000,1810,W,WALNUT,ST,2566,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"1810 W WALNUT ST
CHICAGO, IL
(41.88605648900045, -87.67220599999968)"
16-12-314-042-0000,216,N,FRANCISCO,AVE,2494,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"216 N FRANCISCO AVE
CHICAGO, IL
(41.88471982300047, -87.69886705999966)"
16-12-300-005-0000,341,N,KEDZIE,AVE,2927,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"341 N KEDZIE AVE
CHICAGO, IL
(41.88763163900046, -87.70628429899966)"
16-12-416-012-0000,2545,W,LAKE,ST,2499,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2545 W LAKE ST
CHICAGO, IL
(41.88453315400045, -87.69025951499964)"
16-12-415-074-0000,2672,W,MAYPOLE,AVE,1798,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2672 W MAYPOLE AVE
CHICAGO, IL
(41.883685623000474, -87.69390701999964)"
17-07-314-041-0000,2135,W,WALNUT,ST,4216,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2135 W WALNUT ST
CHICAGO, IL
(41.8857730090005, -87.68061030699965)"
16-12-416-007-0000,2557,W,LAKE,ST,2278,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2557 W LAKE ST
CHICAGO, IL
(41.884513565000475, -87.69071927499965)"
16-12-320-002-0000,3049,W,LAKE,ST,4347,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"3049 W LAKE ST
CHICAGO, IL
(41.88424277900049, -87.70317198499964)"
16-12-108-012-0000,525,N,ALBANY,AVE,3985,27,HUMBOLDT PARK,RS-3,Kinzie Industrial Corridor,"525 N ALBANY AVE
CHICAGO, IL
(41.89105161200047, -87.70389331399969)"
16-12-317-013-0000,3123,W,LAKE,ST,3469,27,EAST GARFIELD PARK,M1-3,Kinzie Industrial Corridor,"3123 W LAKE ST
CHICAGO, IL
(41.884313068000495, -87.70470106299967)"
16-12-319-009-0000,3136,W,WASHINGTON,BLVD,2582,27,EAST GARFIELD PARK,RM-5,Kinzie Industrial Corridor,"3136 W WASHINGTON BLVD
CHICAGO, IL
(41.882838147000484, -87.70512049299964)"
16-12-319-014-0000,3122,W,WASHINGTON,BLVD,2593,27,EAST GARFIELD PARK,PD 25,Kinzie Industrial Corridor,"3122 W WASHINGTON BLVD
CHICAGO, IL
(41.88285133900047, -87.70430638699969)"
16-12-106-036-0000,530,N,TROY,ST,6370,27,HUMBOLDT PARK,RS-3,Kinzie Industrial Corridor,"530 N TROY ST
CHICAGO, IL
(41.891249804000495, -87.70522765599969)"
16-12-306-027-0000,2948,W,FULTON,ST,3775,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"2948 W FULTON ST
CHICAGO, IL
(41.88651853500045, -87.70083054799966)"
16-12-320-001-0000,3059,W,LAKE,ST,17960,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"3059 W LAKE ST
CHICAGO, IL
(41.88425314900047, -87.70340244199969)"
16-12-102-012-0000,615,N,KEDZIE,AVE,3167,27,HUMBOLDT PARK,C1-1,Kinzie Industrial Corridor,"615 N KEDZIE AVE
CHICAGO, IL
(41.892432045000476, -87.70643409499968)"
16-12-103-005-0000,3117,W,HURON,ST,1896,27,HUMBOLDT PARK,PD 855,Kinzie Industrial Corridor,"3117 W HURON ST
CHICAGO, IL
(41.89371338300049, -87.70477019999964)"
17-07-309-049-0000,2201,W,FULTON,ST,63618,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2201 W FULTON ST
CHICAGO, IL
(41.88665335200045, -87.68286071299968)"
16-12-415-024-0000,2703,W,LAKE,ST,2008,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"2703 W LAKE ST
CHICAGO, IL
(41.88436468700047, -87.69455535699967)"
16-12-323-006-0000,129,N,MOZART,ST,1630,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"129 N MOZART ST
CHICAGO, IL
(41.88384394600047, -87.69755580999964)"
16-12-415-031-0000,2659,W,LAKE,ST,2067,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"2659 W LAKE ST
CHICAGO, IL
(41.884417751000456, -87.69345248599967)"
16-12-103-036-0000,624,N,ALBANY,AVE,3164,27,HUMBOLDT PARK,RT-4,Kinzie Industrial Corridor,"624 N ALBANY AVE
CHICAGO, IL
(41.89272933400048, -87.70401775999966)"
16-12-416-010-0000,2549,W,LAKE,ST,2499,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2549 W LAKE ST
CHICAGO, IL
(41.8845280270005, -87.69042668999964)"
16-12-107-023-0000,524,N,ALBANY,AVE,3149,27,HUMBOLDT PARK,RS-3,Kinzie Industrial Corridor,"524 N ALBANY AVE
CHICAGO, IL
(41.89108963700045, -87.70396705999968)"
16-12-111-014-0000,420,N,WHIPPLE,ST,4056,27,HUMBOLDT PARK,C1-2,Kinzie Industrial Corridor,"420 N WHIPPLE ST
CHICAGO, IL
(41.8891998950005, -87.70274794499966)"
16-12-416-005-0000,2563,W,LAKE,ST,1122,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2563 W LAKE ST
CHICAGO, IL
(41.88451411900047, -87.69078250099966)"
16-12-305-008-0000,313,N,WHIPPLE,ST,2508,27,EAST GARFIELD PARK,RT-4,Kinzie Industrial Corridor,"313 N WHIPPLE ST
CHICAGO, IL
(41.88695064100045, -87.70273411799968)"
16-12-416-031-0000,2556,W,MAYPOLE,AVE,2213,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2556 W MAYPOLE AVE
CHICAGO, IL
(41.88374844900045, -87.69070083899965)"
16-12-103-007-0000,649,N,TROY,ST,3174,27,HUMBOLDT PARK,PD 855,Kinzie Industrial Corridor,"649 N TROY ST
CHICAGO, IL
(41.89334119600045, -87.70520345799969)"
17-07-314-047-0000,2132,W,LAKE,ST,18055,27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2132 W LAKE ST
CHICAGO, IL
(41.884944874000496, -87.68028859199967)"
16-12-111-016-0000,416,N,WHIPPLE,ST,4058,27,HUMBOLDT PARK,M1-2,Kinzie Industrial Corridor,"416 N WHIPPLE ST
CHICAGO, IL
(41.8891998950005, -87.70274794499966)"
16-12-300-002-0000,347,N,KEDZIE,AVE,2926,27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"347 N KEDZIE AVE
CHICAGO, IL
(41.88784135500049, -87.70629351699966)"
13-16-200-001-0000,5161,W,LAWRENCE,AVE,9508,45,PORTAGE PARK,B3-2,Jefferson Park,"5161 W LAWRENCE AVE
CHICAGO, IL
(41.9678972260005, -87.7575780419997)"
13-16-106-039-0000,5201,W,LAWRENCE,,11207,45,PORTAGE PARK,B3-2,Jefferson Park,"5201 W LAWRENCE
CHICAGO, IL
(41.96789558800049, -87.75779795299968)"
13-16-431-027-0000,4032,N,CICERO,AVE,128,45,PORTAGE PARK,B3-1,Irving/Cicero,"4032 N CICERO AVE
CHICAGO, IL
(41.9544593760005, -87.74735738299967)"
13-16-431-026-0000,4034,N,CICERO,AVE,3534,45,PORTAGE PARK,B3-1,Irving/Cicero,"4034 N CICERO AVE
CHICAGO, IL
(41.95454925400048, -87.74735738299967)"
16-01-402-011-0000,2535,W,DIVISION,,3039,26,WEST TOWN,B1-1,Humboldt Park,"2535 W DIVISION
CHICAGO, IL
(41.90294433800045, -87.69090857799966)"
16-01-221-042-0000,1310,N,WESTERN,AVE,2740,26,WEST TOWN,C1-2,Humboldt Park,"1310 N WESTERN AVE
CHICAGO, IL
(41.90530994700049, -87.68710687199967)"
16-01-402-012-0000,2535,W,DIVISION,,3037,26,WEST TOWN,B1-1,Humboldt Park,"2535 W DIVISION
CHICAGO, IL
(41.90294433800045, -87.69090857799966)"
16-01-402-017-0000,2521,W,DIVISION,,3162,26,WEST TOWN,B1-1,Humboldt Park,"2521 W DIVISION
CHICAGO, IL
(41.90294316000046, -87.69039087499965)"
16-01-402-018-0000,2519,W,DIVISION,,3053,26,WEST TOWN,B1-1,Humboldt Park,"2519 W DIVISION
CHICAGO, IL
(41.90294316000046, -87.69029062699968)"
13-36-428-031-0000,2622,W,NORTH,AVE,2975,1,WEST TOWN,B3-2,Humboldt Park,"2622 W NORTH AVE
CHICAGO, IL
(41.91029224500045, -87.69307172899966)"
16-01-231-037-0000,2626,W,DIVISION,,3056,26,WEST TOWN,B1-1,Humboldt Park,"2626 W DIVISION
CHICAGO, IL
(41.90297772800045, -87.69304112299966)"
16-14-325-047-0000,1110,S,CENTRAL PARK,AV,5101,24,NORTH LAWNDALE,PD 535,Homan Arthington,"1110 S CENTRAL PARK AV
CHICAGO, IL
(41.867738646000475, -87.71548757299968)"
16-14-421-010-0000,1012,S,KEDZIE,AVE,11372,24,NORTH LAWNDALE,M1-2,Homan Arthington,"1012 S KEDZIE AVE
CHICAGO, IL
(41.86889414700045, -87.70576107999966)"
16-16-100-030-0000,5534,W,MONROE,ST,4047,29,AUSTIN,RS-3,Harrison/Central,"5534 W MONROE ST
CHICAGO, IL
(41.87929833700048, -87.76324158799969)"
16-16-308-052-0000,756,S,LARAMIE,AVE,4076,29,AUSTIN,RS-3,Harrison/Central,"756 S LARAMIE AVE
CHICAGO, IL
(41.870269057000485, -87.75472737799964)"
16-16-104-011-0000,5421,W,MONROE,ST,3106,29,AUSTIN,RS-3,Harrison/Central,"5421 W MONROE ST
CHICAGO, IL
(41.879292576000466, -87.76051989899969)"
16-16-301-008-0000,5421,W,HARRISON,ST,3662,29,AUSTIN,C1-2,Harrison/Central,"5421 W HARRISON ST
CHICAGO, IL
(41.872852743000465, -87.75988578999966)"
16-16-101-025-0000,5446,W,MONROE,ST,3116,29,AUSTIN,RS-3,Harrison/Central,"5446 W MONROE ST
CHICAGO, IL
(41.879328297000484, -87.76144057199969)"
16-16-107-031-0000,5309,W,ADAMS,ST,3102,29,AUSTIN,RS-3,Harrison/Central,"5309 W ADAMS ST
CHICAGO, IL
(41.87840301400047, -87.75808973599965)"
16-16-104-023-0000,5339,W,MONROE,ST,4134,29,AUSTIN,RS-3,Harrison/Central,"5339 W MONROE ST
CHICAGO, IL
(41.87931420400048, -87.75850207099967)"
16-16-120-002-0000,515,S,CENTRAL,AVE,8458,29,AUSTIN,RT-4,Harrison/Central,"515 S CENTRAL AVE
CHICAGO, IL
(41.87367207200049, -87.76459139499968)"
16-16-114-028-0000,5522,W,VAN BUREN,ST,1240,29,AUSTIN,RT-4,Harrison/Central,"5522 W VAN BUREN ST
CHICAGO, IL
"
16-16-118-029-0000,5321,W,VAN BUREN,ST,3081,29,AUSTIN,RS-3,Harrison/Central,"5321 W VAN BUREN ST
CHICAGO, IL
(41.87478369700045, -87.75839969999964)"
